UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
13162675,Varel Rozan,32,68 kg,178 cm,,-,CGO,Oman Professional League,Al-Wahda,"€109,000 p/a",30/6/2025,D (R),-,33,"2,983",70%,0.12,0,0,0,-,-,0,16%,0.92,0.12,0,0.06,0,1.96,98%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
13166347,Maarouf Yussuf,32,75 kg,179 cm,,-,BFA,Iraqi Premier League,Al-Kahrabaa,"€129,000 p/a",30/6/2025,"DM, M (C)",-,40,"3,600",69%,0.07,0.16,0,0,-,-,0,26%,2.4,0.15,0,0.09,0,1.32,100%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
85046982,Guy Michel Landel,34,66 kg,172 cm,,Sports hernia,GUI,Spor Toto 1. Lig,Şanlıurfaspor,"€85,500 p/a",30/6/2025,M (C),-,18,"1,622",88%,0.06,0.06,4.49,2,0.17,5%,0.06,-,-1.31,0.17,0.33,0.07,0,2,77%,1.22,0.17,0,3.55,28%,1,0.11,8.55,16.65,8.21,1.05,11.7km,2.94,10.93,-,-,-,-
13175637,Stephen Baffour,33,66 kg,172 cm,,-,GHA,Iraqi Premier League,Newroz,"€218,000 p/a",30/6/2025,"AM (C), ST (C)",-,38,"3,455",58%,0.13,0.07,0,0,-,-,0,12%,-1.89,1.64,0,0.44,0,0.94,59%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
83297620,Đorđe Jovičić,23,78 kg,193 cm,,-,SRB,Druga Crnogorska Fudbalska Liga,Podgorica,"€6,000 p/a",30/6/2025,D (C),-,40,"3,600",72%,0.03,0,0,0,-,-,0,31%,3.68,0.1,0,0.03,0,1.8,99%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
13184541,Ahmed El Sheikh,32,79 kg,184 cm,,-,EGY,WE Egyptian Premier League,Ismaily,"€178,000 p/a",30/6/2025,AM (RC),-,30,"2,768",70%,0.03,0.02,0.03,0.03,-,-,0,-,-7.84,0.91,0,0.25,0,0.98,73%,0.03,0,0,0.26,13%,0.03,-,0.03,0.23,0.13,0.03,0.3km,0,0.13,-,-,-,-
13194385,Manoubi Haddad,28,68 kg,168 cm,,-,FRA,Championnat de la Ligue Professionnelle 1,AS Soliman,"€84,000 p/a",30/6/2025,M/AM (L),-,38,"3,436",67%,0.16,0.12,0,0,-,-,0,2%,-3.42,0.37,0,0.12,0,1.05,75%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
83168648,Adilio Santos,31,73 kg,178 cm,,-,BRA,Campeonato de Futebol dos Açores,Santa Clara B,"€82,500 p/a",30/6/2025,AM (RL),-,18,"1,400",83%,0.39,0.44,3.34,1.67,0.58,14%,1.09,11%,-0.48,0.39,0.39,0.16,0,2.96,88%,1.03,0,0.26,5.91,49%,2.89,0.19,7.39,12.09,12.92,2.83,11.8km,3.86,10.93,-,-,-,-
13204869,Amr Marei,33,68 kg,175 cm,,Pulled ankle ligaments,EGY,WE Egyptian Premier League,Arab Contractors,"€165,000 p/a",30/6/2025,ST (C),-,39,"3,552",56%,0.18,0.07,0,0,-,-,0,7%,-3.6,1.44,0,0.32,0,0.84,53%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
80035916,Cristopher Cragwell,23,80 kg,183 cm,,-,PAN,Liga Panameña de Futbol,Árabe Unido,"€44,000 p/a",30/6/2025,D (C),-,39,"3,510",69%,0.1,0,0,0,-,-,0,11%,-0.79,0.1,0,0.07,0,1.82,97%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
