UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
2000058425,Joan González,22,83 kg,190 cm,,-,ESP,Serie A enilive,Lecce,"€640,000 p/a",30/6/2026,"DM, M (C)",DM,20,"1,597",89%,0.06,0.08,3.49,1.24,0.06,20%,0.11,-,-0.96,0.28,0.39,0.05,0,1.63,57%,0.68,0.06,0.28,3.83,57%,2.2,0.34,9.3,13.58,10.43,1.07,12.0km,3.38,11.67,-,-,-,-
67144038,Brian Oliván,30,73 kg,177 cm,,-,ESP,LaLiga EA SPORTS,Espanyol,"€986,000 p/a",30/6/2026,D/WB (L),-,21,"1,890",85%,0.05,0.14,5.62,0.76,0.19,15%,0.33,-,-0.34,0.05,0,0.02,0,2.43,81%,0.76,0.1,0.19,4.86,40%,1.95,0.52,8.95,18.71,15.48,1.57,12.7km,2,9.48,-,-,-,-
85010865,Dennis Appiah,32,68 kg,179 cm,,-,FRA,Ligue 1 McDonald's,ASSE,"€645,000 p/a",30/6/2024,"D (RC), WB (R)","D (C), WB (R)",16,"1,329",87%,-,0.07,5.96,0.68,0.07,8%,0.14,9%,-0.18,0.07,0.2,0.08,0,1.9,80%,0.81,0.2,0.2,4.74,60%,2.84,0.88,9.28,18.15,12.66,1.56,11.7km,2.17,7.58,-,-,-,-
48044279,Lilian Brassier,25,78 kg,184 cm,,-,FRA,Ligue 1 McDonald's,Rennes,"€370,000 p/a",30/6/2025,D (C),-,17,"1,530",93%,0.06,0.04,5,0.41,0.12,25%,0.12,10%,-0.15,0.06,0.18,0.07,0,0.88,58%,1,0.53,0.59,5.65,78%,4.41,0.41,18.18,3.18,5.18,0.35,11.6km,1.29,3,-,-,-,-
14185196,Lautaro Valenti,25,76 kg,188 cm,,-,ARG,Serie A enilive,Parma,"€760,000 p/a",30/6/2026,D (C),-,14,"1,254",92%,-,0.02,4.02,0.14,-,33%,0.07,-,-0.11,0,0.14,0.01,0,1.65,70%,1.22,0.43,1.22,7.46,67%,5.02,0.14,11.34,4.23,6.39,0.29,11.7km,1.65,4.38,-,-,-,-
92092364,Lennard Maloney,25,89 kg,188 cm,,-,USA,Bundesliga,Mainz 05,"€449,000 p/a",30/6/2024,"D (C), DM",-,14,"1,247",89%,0.07,0.26,3.83,0.29,0.43,0%,0,11%,0.03,0.07,0.14,0.07,0,2.81,75%,0.43,0,0.51,4.76,64%,3.03,0.65,10.1,8.01,12.7,0.72,13.2km,3.18,10.47,-,-,-,-
49048357,Lucas Chevalier,23,84 kg,189 cm,,-,FRA,Ligue 1 McDonald's,Lille,"€428,000 p/a",30/6/2026,GK,-,26,"2,370",83%,-,0,0,0,-,-,-,-,0,-,-,0,4,0.08,29%,1.37,0,0,-,-,-,-,4.37,7.25,0,-,6.1km,0,0,8,43,18,0.05
37053569,Kingsley Ehizibue,29,83 kg,189 cm,,-,NGA,Serie A enilive,Udinese,"€900,000 p/a",30/6/2025,D/WB (R),-,16,"1,363",85%,-,0.02,3.76,1.06,-,13%,0.53,-,-0.28,0,0,0.02,0,2.25,79%,1.25,0.07,0.26,4.29,52%,2.25,0.73,7.26,19.41,16.84,2.77,12.8km,2.25,11.75,-,-,-,-
91132290,Benedikt Gimber,27,85 kg,187 cm,,-,GER,Bundesliga,Heidenheim,"€865,000 p/a",30/6/2027,"D (C), DM, M (C)",M (C),16,"1,303",89%,0.21,0.15,4.28,0.9,0.07,0%,0,-,-0.44,0.07,0,0.03,0,1.86,84%,0.83,0.28,0.35,5.25,72%,3.8,0.62,14.37,5.66,9.19,0.28,11.7km,1.86,7.6,-,-,-,-
36081836,Manolis Saliakas,28,74 kg,177 cm,,-,GRE,Bundesliga,St. Pauli,"€499,000 p/a",30/6/2025,D/WB (R),-,16,"1,376",90%,0.13,0.15,6.34,0.33,0.33,18%,0.26,-,-1.69,0.07,0.26,0.11,0,2.09,73%,0.98,0.07,0.07,3.73,54%,2.03,0.39,10.79,13.67,18.12,1.77,12.4km,2.09,8.7,-,-,-,-
