UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
2002150962,Siviwe Mthembu,16,70 kg,179 cm,,-,RSA,DStv Premiership,Sundowns,"€1,500 p/a",-,30/6/2029,D (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000051069,Ntuthuko Mlotshwa,24,75 kg,184 cm,,-,RSA,National First Division,Magesi FC,"€27,500 p/a",-,30/6/2026,D (R),-,-,22,90%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000146156,Muzi Mahlangu,24,68 kg,176 cm,,-,RSA,National First Division,Super Eagles FC,"€25,500 p/a",€3.3K,30/6/2026,D (L),-,4,361,89%,-,0.14,4.74,1.25,-,13%,0.25,-,0,-,-,0,0,0,0.55,2.49,100%,1.75,0.25,1,5.24,48%,2.49,0.75,13.96,11.97,11.72,0.25,12.6km,1.75,7.48,-,-,-,-,-,-,-
2002178664,Bongani Mkwanazi,16,63 kg,180 cm,,-,RSA,DStv Premiership,Golden Arrows,"€1,500 p/a",-,30/6/2029,ST (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000331472,Karabo Seroto,23,70 kg,180 cm,,-,RSA,National First Division,Magesi FC,"€30,500 p/a",-,30/6/2026,ST (C),-,-,253,87%,-,0,0.36,0.36,0.36,-,0,33%,0.43,1.78,0.71,0,0.56,0,0,-,-,0.36,0,0,11.74,9%,1.07,0.36,0,23.12,4.98,1.07,10.8km,0.36,4.98,-,-,-,-,-,-,-
2000248515,Thabo Mapoho,17,68 kg,180 cm,,-,RSA,DStv Premiership,Swallows,"€16,250 p/a",-,30/6/2028,ST (C),-,-,39,100%,-,-,-,-,-,0%,-,-,-0.02,-,-,-,-,0,0,-,-,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000146043,Ntiyiso Bombi,24,66 kg,176 cm,,-,RSA,National First Division,JDR Stars,"€10,250 p/a",€7.5K,30/6/2026,AM (R),-,3,481,90%,-,0.05,0.94,0.56,0.37,21%,0.94,40%,1.73,0.56,0.37,0.37,0.05,0,0.28,1.5,89%,0.37,0,0,8.05,9%,0.75,0.19,1.31,26.01,7.86,3.74,12.0km,2.25,10.1,-,-,-,-,-,-,-
2002177204,Lance Mokoena,16,54 kg,167 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€1,500 p/a",-,30/6/2029,D (R),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002149320,Shane Makgolane,17,62 kg,172 cm,,-,RSA,DStv Premiership,Cape Town Spurs,"€19,250 p/a",-,30/6/2027,AM (LC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002149170,Thabang Jacobs,18,65 kg,174 cm,,-,RSA,DStv Premiership,AmaZulu,"€16,250 p/a",-,30/6/2026,D (L),-,-,35,88%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
