name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Gaspar Aguilar,2002127732,25.19,28.17,77.71,85.91,76.59,70.48,31.06,52.52,deep playmaker,{"deep playmaker":78}
Lautaro Zalazar,2002146709,23.69,0.7,7.04,17.12,7.79,43.47,71.36,90.25,,{}
Narcís Amagat,2002072500,95.94,50.7,49.49,50.23,84.61,83.3,72.25,42.77,,{}
Lima,2002121036,73.23,38.15,61.19,60.31,68.33,97.81,85.87,47.9,,{}
Charles,19305263,12.36,88.81,13.67,70.43,16.42,27.57,28.54,56.67,,{}
João Paulo,2002120677,16.65,12.27,61.94,56.67,46.04,15.9,18.75,60.21,,{}
Bamo Meïté,2000018252,24.86,18.98,63.81,75.23,42.91,13.85,10.35,10.91,,{}
João Pedro,2002120602,26.31,0.7,18.42,37.27,82.14,58.68,49.77,5.83,,{}
Javier Brannigan,2002153876,90.07,28.17,67.44,46.69,42.91,30.46,57.65,47.9,,{}
Emil Rohd,2000126880,5.27,75.09,3.68,31.48,5.55,28.92,16.84,88.48,,{}
Gonzalo Quinteros,2000249023,21.18,94.31,78.54,88.01,72.53,9.84,25.47,0.37,,{}
Tomás O'Connor,14229542,77.15,5.27,65.11,68.42,68.05,57.74,66.14,31.67,,{}
Aimar Sesma,2002099368,25.05,50.7,49.39,62.17,55.55,26.12,28.54,10.91,,{}
Manolo Serna,2002101603,51.12,1.03,63.81,72.99,34.65,59.14,41.93,60.21,,{}
Eric da Silva,2002122511,52.99,12.27,18.42,27.19,39.65,87.5,53.03,74.21,,{}
Gustavo Villarroel,2000148512,66.7,92.63,47.2,33.58,63.29,90.39,75.09,47.9,,{}
Yasin Karabulut,2002133225,21.74,44.22,63.01,58.82,34.1,11.75,16.84,16.98,,{}
Federico Recalde,2002105184,50.09,57.65,22.71,40.81,45.52,40.16,53.03,66.51,,{}
Cléber,2002121113,17.77,18.98,9,28.54,5.69,35.07,51.68,97.34,,{}
Álvaro Muñoz,2002125927,33.63,12.27,44.17,17.68,21.04,50.47,44.12,60.21,,{}
Quim Junyent,2000297440,54.43,44.22,17.4,9.38,34.65,39.09,38.53,24.21,,{}
Marouane Balouk,18107453,10.12,50.7,22.48,73.37,6.2,25.14,34.61,92.82,,{}
João Teixeira,2000190592,71.27,57.65,88.29,76.35,19.17,40.72,44.12,52.52,,{}
José Ricardo,2002101692,88.62,44.22,16.37,38.29,10.03,42.26,59.19,47.9,,{}
Kevin Moyano,2000147399,78.78,18.98,80.74,66.84,95.99,39.6,38.53,31.67,,{}
Juan Cruz Duarte,2002128099,21.74,12.27,99.21,97.81,54.1,9,4.34,31.67,,{}
Alfredo Roquero,2000193221,16,32.84,96.78,87.73,88.48,17.44,16.84,16.98,,{}
Jochie de Gelder,2002073693,20.01,69.96,67.21,74.86,35.73,9.84,4.34,10.91,,{}
Peru Sola,2002104443,63.62,28.17,38.85,33.35,27.33,52.61,54.76,60.21,,{}
Noa Rip,2002103973,65.35,50.7,15.25,13.29,28.36,50.47,68.8,52.52,,{}
Maximilian Knoop,2002099594,29.9,38.15,41.93,64.65,32.6,9.84,4.34,16.98,,{}
Mirco Dolci,2002144605,78.45,23.27,51.96,59.33,37.08,39.6,40.21,56.67,,{}
Moses Mohammed,2002124367,47.67,23.27,14.51,26.59,11.29,63.25,72.25,90.25,,{}
David Luiz,2002121782,24.16,28.17,5.64,22.99,6.11,39.6,54.76,74.21,,{}
Lucas Cano,2002128829,43.14,32.84,62.36,61.15,76.4,50.47,40.21,47.9,,{}
Dani Gómez,2002124757,63.9,44.22,75.42,66.18,70.06,84.19,67.58,63.39,,{}
Julio Messina,2002074617,65.35,64.18,27.01,26.21,48.32,81.02,91.09,60.21,,{}
André Santos,2002075081,8.02,92.63,55.08,70.15,33.63,18.33,10.35,24.21,,{}
Rodrigue Essomba,2002072381,75.84,15.95,55.74,76.82,60.12,55.27,23.46,42.77,,{}
Zoran Dukić,2002123100,18.42,50.7,71.83,81.39,46.6,19.03,23.46,47.9,,{}
Leonel Pavón,2002106441,79.85,88.81,41.18,32.14,58.44,93.38,87.59,66.51,,{}
Beto,2000311178,78.45,75.09,54.38,42.68,74.11,66.51,61.29,24.21,,{}
Jeffrey Boleij,2002126252,5.64,23.27,40.53,79.43,83.91,12.36,23.46,2.05,,{}
Ariel González,2000240540,21.5,23.27,49.81,75.09,78.87,30.46,21.83,16.98,,{}
Mateo Seoane,14236224,43.84,50.7,83.26,82.98,40.58,70.48,44.12,10.91,,{}
Felipe,2002131986,27.52,32.84,10.45,23.37,16.14,60.45,69.82,60.21,,{}
Daniel Sousa,2002102928,47.67,38.15,15.95,27.85,19.87,76.31,68.8,74.21,,{}
Antonin Berger,2002072384,75.84,32.84,69.17,72.2,75.98,45.76,34.61,16.98,,{}
Joël-Emmanuel Coulibaly,2000289214,71.83,12.27,72.48,55.08,89.04,66.51,36.24,31.67,,{}
Pereira,2002120763,43.84,69.96,37.87,39.23,90.21,88.9,54.76,69.31,,{}
Ronald,2000071099,56.3,79.29,70.66,55.18,25.79,57.14,50.75,69.31,,{}
Sergio González,2002101908,76.31,23.27,92.07,69.45,65.07,36.01,36.24,10.91,,{}
Mauro Rossi,2002136259,82.7,57.65,56.02,46.55,44.03,78.78,75.09,69.31,,{}
Khalil Fayad,2000006178,48.88,0.28,18.1,27.1,30.88,44.92,40.21,47.9,,{}
Glenn Stumpf,2002075443,11.33,64.18,55.5,78.22,61.01,9,4.34,24.21,,{}
Jorge Machín,2002074051,72.81,96.22,73.46,25.89,20.2,73.04,72.25,31.67,destroyer,{"destroyer":81}
Thiago Martínez,2000252019,62.22,32.84,89.37,65.39,85.07,82.46,59.19,63.39,,{}
Gustavo Albarracín,2000185733,37.41,38.15,72.15,75.42,94.12,43,32.7,10.91,,{}
Martin Green,2002123937,22.53,23.27,9.98,71.36,10.17,37.08,21.83,79.52,,{}
