name,uid,tackleRating,headersWonRatio,progressivePassesPer90,badges,ratingScores
Oliver Abildgaard,27093157,87.48,8.85,3.93,,{}
Roy Leicester,2000228586,39.21,55.86,28.5,,{}
Yiandro Raap,2000226974,15.18,27.3,78.76,spreader,{"spreader":79}
Ezequiel Navarro,14196826,33.29,21.17,82.16,spreader,{"spreader":82}
Nicolás Andrés Paz,14211016,46.27,19.17,12.85,,{}
Marcelo Mendoza,2002127270,22.97,60.59,69.84,,{}
Bas Nuijten,2002075262,39.21,27.3,95.47,spreader,{"spreader":95}
Brian Aguilar,2000048810,5.59,72.44,45.47,,{}
Matteo Dams,2000048586,98.34,1.07,1,,{}
Wisdom Amey,2000097938,33.29,86.82,11.25,,{}
Kev Muddyman,2000280474,53.73,55.86,76.36,spreader,{"spreader":76}
Finn van Breemen,2000027407,84.89,22.97,21.3,,{}
Jens Vermeuelen,2002072739,90.08,42.08,4.46,,{}
Cléber,2002142733,82.16,55.86,85.15,spreader,{"spreader":85}
Cristian Fidalgo,2002127554,82.16,72.44,79.03,aggressor;spreader,{"aggressor":77;"spreader":79}
Kauã Vinícius,2000157575,22.97,65.05,20.44,,{}
Anders Nøvik,2000049752,39.21,55.86,94.14,spreader,{"spreader":94}
Felipe Sánchez,2000142821,60.79,55.86,25.77,,{}
Kelvin Bueres,2002120482,9.72,82.29,89.75,spreader,{"spreader":90}
Dylan Dassy,18111491,95.07,55.86,2.33,,{}
Nuno Correia,2000183113,72.1,51.86,45.74,,{}
Alessandro Pane,2002125935,39.21,99.13,16.11,,{}
Luis Miguel Prada,2002102122,9.72,65.05,20.71,,{}
Shadi Guillet,2000307456,98.34,19.17,2.86,,{}
Eduardo,2002120200,99.67,96.01,77.56,aggressor;spreader,{"aggressor":98;"spreader":78}
Santiago Flores,14227546,9.72,33.16,65.51,,{}
Michael Clinton Opeyemi,2000124670,98.93,1.07,1,,{}
Domenico Macchioni,2002135202,22.97,30.03,25.43,,{}
Felipe Álvarez,2000240842,96.67,60.59,73.24,spreader,{"spreader":73}
Paulo Roberto,2002120945,18.71,48.27,19.64,,{}
João Pina,2002073793,18.71,55.86,30.83,,{}
Franco Ayala,2000140967,7.39,88.75,50.07,,{}
Lucas Bernabéu,2000200446,12.05,60.59,86.75,spreader,{"spreader":87}
Maik Poeketie,2000235899,91.81,97.27,4.99,aggressor,{"aggressor":95}
Loris Carannante,2002073453,87.48,92.54,5.39,aggressor,{"aggressor":90}
Marco Borba,2002073401,12.05,92.54,24.3,,{}
Patricio Pernicone,14222103,2.06,72.44,68.77,,{}
Alejo Prado,2002146642,66.78,30.03,46.21,,{}
Álex Alba,2000125132,39.21,15.58,21.77,,{}
Ilyas Bouazzaoui,2000299242,72.1,12.58,10.99,,{}
Fred,2002121247,93.01,10.32,67.04,,{}
Rodrigo Nuzzolese,2002136250,66.78,25.1,65.51,,{}
Diego van Zutphen,2000111576,60.79,25.1,13.52,,{}
Floris Bos,2000226977,39.21,92.54,8.32,,{}
Agustín Levi,2002074076,76.43,33.16,80.83,spreader,{"spreader":81}
Jayden Candelaria,2000041895,79.29,45.07,92.48,spreader,{"spreader":92}
Gum,2002142700,46.27,82.29,55.46,,{}
Allan Delferrière,2000096301,97.47,1.07,1,,{}
Guillem Víctor,2000297346,72.1,36.28,16.91,,{}
German Staricco,2000311887,15.18,30.03,61.19,,{}
Facundo González,2000176729,39.21,84.62,50.8,,{}
Mads Lauritsen,2000140107,79.29,21.17,14.71,,{}
Federico Monzón,2002146838,4.53,11.45,52.6,,{}
Montolío,2000304911,0.73,55.86,15.18,,{}
Zech Medley,28108037,84.89,15.58,10.59,,{}
Emiliano Aguirre,2002128074,28.1,15.58,56.99,,{}
Christian Dalle Mura,43424958,46.27,92.54,16.51,,{}
Lasse Rosenboom,91187792,76.43,65.05,53.46,,{}
Cristian Barros Schelotto,2002146846,87.48,5.99,63.85,,{}
Adam Flint,2002145364,76.43,82.29,24.5,aggressor,{"aggressor":79}
Carciano Barbato,2000135601,33.29,97.27,33.09,,{}
Damián Fernández,14222102,90.08,7.86,83.75,spreader,{"spreader":84}
Joaquín Pombo,2000066447,12.05,72.44,70.91,spreader,{"spreader":71}
Ahmed Mounji,2002124638,39.21,30.03,48.8,,{}
João Pereira,2000047621,28.1,15.58,10.25,,{}
Luc Netten,2000046674,46.27,36.28,54.99,,{}
João Silva,83111507,87.48,22.97,5.53,,{}
Mamadou Faye,2002123061,46.27,42.08,75.17,spreader,{"spreader":75}
Lukas Henriksen,2000156814,96.67,72.44,3.53,aggressor,{"aggressor":85}
