name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Geovane,2002121525,89.64,65.39,66.3,79.15,82.3,51.21,79.88,79.45,wide playmaker,{"wide playmaker":83}
Noam Emeran,49061888,85.58,48.73,88.36,93.94,4.61,38,59.33,81.94,,{}
Jona Niemiec,2000078565,7.94,48.73,30.97,45.64,94,91.27,15.76,6.36,,{}
Rayane Bounida,2000127879,38.61,42.61,42.18,42.48,55.82,67.09,32.61,71.21,,{}
Enzo Sternal,2000287837,61.88,48.73,36.06,17.09,97.39,72.67,28.73,32.79,,{}
Luis Miguel Martín,2002101900,60.42,54.55,97.39,77.64,9.52,44.36,84.18,79.45,,{}
Kevin Albertini,2002162530,26.55,42.61,50.61,20.48,4.61,1.52,28.73,42.97,,{}
Enric Granell,2002072505,38.61,48.73,16.61,41.52,55.82,54.42,16.48,27.82,,{}
Yonni La Barbera,2000270838,2,26.48,43.82,33.09,10.42,64.55,28.06,27.82,,{}
Yashir Caballero,2002073979,97.39,48.73,95.52,72.61,90.73,28.36,99.39,92.3,wide playmaker,{"wide playmaker":96}
Valdemar Byskov,2000140078,19.39,60.18,42.18,15.76,4.61,57.45,29.64,37.88,,{}
Lautaro Reyes,2002127307,64.36,78.67,82.06,70.73,31.76,14.61,94.18,74.61,,{}
Giacomo Inverardi,2002123929,63.21,26.48,63.52,55.82,42.55,54.42,47.88,71.21,,{}
August Priske,2000031653,2,2.61,3.45,1.33,23.21,85.58,1.39,13.39,,{}
Andrea De Cesare,2002135433,44.79,18.61,36.06,93.15,89.03,41.21,35.39,42.97,,{}
Iván Salomón,2002136783,34.24,42.61,47.33,52.55,60.55,61.58,55.7,56.24,,{}
Rian Assumpção,2002132132,42,26.48,27.33,26.55,96.42,96.91,59.33,56.24,,{}
Mads Post,28122342,2,2.61,3.45,1.33,42.55,90,1.39,37.88,,{}
Nemanja Motika,2000062142,35.64,15.27,34.3,85.64,68.48,61.58,74.48,37.88,,{}
Mario Barlocco,2000278405,81.76,37.33,48.97,79.64,27.52,38,70.06,71.21,wide playmaker,{"wide playmaker":74}
Logan Chevallier,2000067664,46.3,26.48,51.52,83.7,19.09,38,77.15,47.58,,{}
Enock Agyei,2000044562,2,2.61,3.45,1.33,9.27,57.45,1.39,9.7,,{}
Roberto Díaz,2002146644,42,97.58,36.06,12,75.27,90,25.27,47.58,,{}
Narcís Francés,2002163170,35.64,70.91,32.67,89.33,42.55,64.55,44.97,42.97,,{}
Svenne Van Poucke,2002072643,2,2.61,3.45,1.33,23.21,23.45,1.39,13.39,,{}
Kaidyn Wrightman,2002144030,12.73,32.06,14.73,18,75.27,47.82,7.52,1.39,,{}
Matthieu Guillot,2002075097,48.12,60.18,77.88,95.21,51.52,59.7,61.15,71.21,,{}
Guillem Víctor,2000297346,10.42,18.61,48.97,22.18,31.76,5.39,9.88,13.39,,{}
Soulyman Allouch,37079093,35.64,60.18,49.94,60.55,99.03,23.45,24.42,37.88,,{}
Gabriel Carvalho,2000273988,89.64,70.91,64.67,35.58,47.03,59.7,88.85,93.03,wide playmaker,{"wide playmaker":91}
Ian Escobar,2000141714,81.76,93.39,63.52,49.82,89.03,96.91,78.61,77.27,wide playmaker,{"wide playmaker":79}
Amourricho van Axel Dongen,2000041123,88.3,54.55,84.73,62.12,31.76,31.39,71.64,84.61,wide playmaker,{"wide playmaker":82}
