name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
Velibor Elesin,2000265960,89.55,95.69,86.64,81.36,97.09,91.7,47.31,72.31,wide defender,{"wide defender":91}
Jorge Luís,2002170897,50.11,51.08,18.1,90.84,61.53,64.44,64.12,86.42,,{}
Rasmus Carstensen,27155679,74.89,15.09,66.7,62.93,42.78,74.46,94.18,66.92,,{}
Joe Mendes,93123160,20.15,43.32,15.95,55.28,20.8,53.02,51.19,83.19,,{}
Alp Coşkun,2002075391,66.38,65.73,9.16,66.7,76.51,45.8,40.3,49.35,,{}
José Neris,78088635,3.56,96.98,11.96,26.62,61.53,25.65,22.09,48.38,,{}
Maksim Paskotši,2000019993,27.48,9.81,57.54,25.86,18.21,18.64,13.25,19.94,,{}
Sergio Ojeda,2002074624,92.56,43.32,57.54,76.4,48.49,54.09,42.56,79.96,,{}
Brendan Dixon,2002074969,23.49,77.91,47.52,18.21,94.83,30.28,35.45,24.03,,{}
Andrea Cambiaso,43339195,83.51,77.91,34.16,63.79,14.44,27.59,69.07,76.72,,{}
Kyriani Sabbe,2000091515,9.16,86.85,30.93,33.73,15.84,33.51,38.9,52.37,,{}
Ricardo Pereira,2000170574,5.28,35.02,11.96,65.19,92.67,31.57,40.3,28.77,,{}
Arthur,2000073449,35.13,18.32,9.16,82.11,84.16,55.82,71.66,88.79,,{}
Augusto Schott,14181170,39.44,3.77,57.54,85.13,93.86,84.16,55.28,60.34,,{}
Josh Brooking,28124572,10.24,18.32,16.81,28.13,93.43,51.94,7.65,7.11,,{}
Shawn Adewoye,18101866,73.38,58.73,69.94,12.5,56.68,37.07,28.88,21.01,,{}
Jesús Fortea,2000293312,77.48,77.91,52.26,96.44,66.06,95.26,99.68,96.88,,{}
Malo Gusto,49056280,47.41,35.02,38.04,90.3,66.06,93.86,96.44,96.01,,{}
Nathan,19377228,89.01,3.13,93,99.25,42.78,99.46,89.12,97.2,,{}
Natanael,19383253,36.21,58.73,22.41,97.74,61.53,98.71,96.66,87.18,,{}
Heitor,19364334,58.94,91.7,18.1,99.68,89.98,99.03,98.38,55.17,,{}
Bart van Rooij,37072824,39.44,51.08,45.37,40.84,48.49,75.11,67.46,75.22,,{}
Alejandro Francés,67281886,69.4,58.73,43.97,50.97,48.49,45.8,82,32.54,,{}
Vitor,2002131779,59.81,82.76,88.79,32.76,42.78,21.98,22.95,18.32,,{}
Jens Castrop,91193050,15.63,18.32,19.94,89.98,77.69,60.34,64.87,87.93,,{}
Jajá,2002119879,16.81,65.73,10.13,89.55,61.53,91.7,61.1,84.27,,{}
Endika Moreno,2002102686,83.08,58.73,35.88,70.04,52.48,62.72,65.3,70.69,,{}
Mert Müldür,16184687,57.54,28.02,35.88,61.1,48.49,48.81,89.33,39.87,,{}
Max Johnston,2000022026,82.54,86.85,35.88,85.99,70.8,69.29,75.54,82.65,,{}
Héctor Fort,2000227977,74.57,15.09,25.11,67.56,42.78,70.04,84.81,54.85,,{}
Nicolas Oliveira,2000161440,62.82,51.08,81.47,77.05,48.49,73.17,85.67,78.34,,{}
Álvaro Mantilla,2000040352,80.5,58.73,38.04,51.94,25.86,71.01,71.44,60.88,,{}
Santiago Simón,14223204,8.19,4.96,10.88,98.17,92.67,97.09,67.46,75.65,,{}
Ibrahim Diakité,2000159355,71.66,51.08,22.41,55.28,15.84,21.98,48.81,45.8,,{}
Hari Jones,2000109682,99.03,43.32,84.27,86.53,52.48,72.09,81.36,81.36,,{}
Tomislav Papazov,22072957,9.91,91.7,81.47,11.42,6.57,6.68,2.26,8.84,,{}
Diogo Travassos,2000047615,54.31,35.02,14.87,91.7,42.78,89.55,83.73,95.8,,{}
Taylor Harwood-Bellis,28120046,27.05,95.69,52.26,12.5,20.8,21.98,15.63,20.8,,{}
Arne Engels,18111494,39.76,94.61,47.52,34.91,56.68,42.13,90.41,64.55,,{}
Matías Gómez,2000243660,4.42,28.02,2.69,84.59,42.78,43.97,36.53,54.31,,{}
Vasquez Ceza,2002073178,32.54,22.52,28.88,87.28,37.39,85.24,89.98,90.84,,{}
Jenson Seelt,37084995,91.27,91.7,91.16,28.13,92.67,43.97,26.72,27.16,wide defender,{"wide defender":91}
Rodrigo Conceição,83169876,7.76,82.76,2.05,77.05,25.86,71.01,77.37,83.62,,{}
Tommaso Donelli,2002075189,94.94,77.91,54.63,46.77,18.21,28.99,53.99,62.28,,{}
Hussein Ali,93122988,83.73,65.73,35.88,36.75,18.21,35.24,40.84,44.61,,{}
Leandro Quevedo,2002119873,16.06,86.85,6.9,80.93,85.34,90.41,85.99,59.38,,{}
Lasse Sørensen,27119378,40.3,51.08,30.93,43.21,37.39,74.03,93.21,74.78,,{}
Ángel Barcia,2002073187,80.82,89.66,88.79,36.1,32.97,48.81,82.22,35.88,wide defender,{"wide defender":86}
Jamil Siebert,91206955,92.78,22.52,75.54,5.82,56.68,33.51,24.35,15.73,,{}
Adam Aznou,2000191507,85.88,77.91,18.1,95.04,61.53,88.79,74.35,95.37,,{}
